Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO4eq per 1000kcal),Eutrophying emissions per kilogram (gPO4eq per kilogram),Eutrophying emissions per 100g protein (gPO4eq per 100 grams prot),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g prot),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO2eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO2eq per 100g prot),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m2 per kilogram),Land use per 100g protein (m2 per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g prot),Scarcity-weighted water use per 1000kcal (liters per 1000 kcals)
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,1.4,39.52631579,7.51,68.27272727,1946.315789,3361.818182,369.8,11,19,4.210526316,0.8,7.272727273,5335.7,48506.36364,28082.63158
Onions,0,0,0.2,0,0.1,0,0,0.3,8.756756757,3.24,24.92307692,38.64864865,110,14.3,1.351351351,3.846153846,1.054054054,0.39,3,932,7169.230769,2518.918919
Leeks,0,0,0.2,0,0.1,0,0,0.3,8.756756757,3.24,24.92307692,38.64864865,110,14.3,1.351351351,3.846153846,1.054054054,0.39,3,932,7169.230769,2518.918919
Carrots,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Sweet Potatoes,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Turnips,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Beets,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Garlic,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Radishes,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Carrots,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Turmeric,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Yams,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,76.75675676,284,28.4,1.162162162,4.3,0.891891892,0.33,3.3,929.2,9292,2511.351351
Bok Choy,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Arugula,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Broccoli,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Brussels sprouts,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Cabbage,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Cauliflower,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Collard,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Kale,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Kohlrabi,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Napa cabbage,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Rape,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Rutabaga,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.454545,119.4,3,4.636363636,3.235294118,0.55,5,8455.1,76864.54545,49735.88235
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,,2.27,,,,102.5,,,,0.38,,4911.4,,
Oranges,-0.1,0,0.3,0,0.1,0,0,0.3,7,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375
Limes,-0.1,0,0.3,0,0.1,0,0,0.3,7,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375
Lemons,-0.1,0,0.3,0,0.1,0,0,0.3,7,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375
Grapefruit,-0.1,0,0.3,0,0.1,0,0,0.3,7,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,5.483333333,3.29,36.55555556,190.8333333,1272.222222,114.5,1.433333333,9.555555556,3.216666667,1.93,21.44444444,661.9,7354.444444,1103.166667
Apples,0,0,0.2,0,0.1,0,0,0.3,3.020833333,1.45,48.33333333,375.2083333,6003.333333,180.1,0.895833333,14.33333333,1.3125,0.63,21,12948.6,431620,26976.25
Pears,0,0,0.2,0,0.1,0,0,0.3,3.020833333,1.45,48.33333333,375.2083333,6003.333333,180.1,0.895833333,14.33333333,1.3125,0.63,21,12948.6,431620,26976.25
Grapes,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,736.1403509,4196,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621,37126.49123
Strawberries,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,736.1403509,4196,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621,37126.49123
Blackberries,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,736.1403509,4196,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621,37126.49123
Blueberries,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,736.1403509,4196,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621,37126.49123
Raspberries,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,736.1403509,4196,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621,37126.49123
Kiwi,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,736.1403509,4196,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621,37126.49123
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,,4.57,,,,78.9,,,,1.78,,1149.3,,
Pineapple,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Mangoes,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Watermelon,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Honeydew,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Cantelope,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Tomatoes,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Avocado,0.1,0,0.4,0,0.2,0,0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,197.3571429,110.52,138.15,46.25,32.375,25.9,50.94642857,35.6625,38.60714286,21.62,27.025,337,421.25,601.7857143
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,16.84332689,87.08,174.16,104.5647969,1081.2,540.6,9.023210832,93.3,13.3384913,68.96,137.92,2879.2,5758.4,556.9052224
Beef,16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.4065934,301.41,151.1584754,531.5750916,727.7833501,1451.2,36.43956044,49.88966901,119.4908425,326.21,163.5957874,34732.5,17418.50552,12722.52747
Lamb,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,568.7066246,900.9495252,1802.8,12.52996845,19.85007496,116.659306,369.81,184.8125937,141925,70927.03648,44771.29338
Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,568.7066246,900.9495252,1802.8,12.52996845,19.85007496,116.659306,369.81,184.8125937,141925,70927.03648,44771.29338
Pig,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163
Bacon,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163
Pork Chops,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163
Pork Loin,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163
Chicken,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32432432,48.7,28.11778291,356.7567568,381.0623557,660,5.335135135,5.698614319,6.605405405,12.22,7.055427252,14177.9,8185.854503,7663.72973
Turkey,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32432432,48.7,28.11778291,356.7567568,381.0623557,660,5.335135135,5.698614319,6.605405405,12.22,7.055427252,14177.9,8185.854503,7663.72973
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,17.75,10.65,32.27272727,1047,1903.636364,628.2,5.25,9.5,14.91666667,8.95,27.12121212,19786.3,59958.48485,32977.16667
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.41860465,98.37,44.55163043,1448.372093,2538.586957,5605.2,6.170542636,10.81521739,22.68475452,87.79,39.75996377,180850.6,81906.97464,46731.42119
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,15.11111111,21.76,19.61067051,401.1805556,520.6380678,577.7,3.243055556,4.208723864,4.354166667,6.27,5.650684932,17982.7,16206.4708,12487.98611
Fish,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Salmon,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Tilapia,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Sea Bass,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Mahi mahi,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Catfish,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Crab,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Lobster,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Oysters,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Clams,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Cod,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Tuna,0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
Shrimps,0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,,,,,,,,,,,,,,
