Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Serving Size
Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,112
Pig,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,112
Bacon,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,38
Pork Chops,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,112
Pork Loin,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,112
Chicken,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,112
Turkey,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,112
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,240
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,30
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,38
Fish,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Salmon,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Tilapia,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Sea Bass,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Mahi mahi,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Catfish,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Crab,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Lobster,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Oysters,0.5,0.8,3.6,0,0.1,0.1,0,5.1,56
Clams,0.5,0.8,3.6,0,0.1,0.1,0,5.1,85
Cod,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Tuna,0.5,0.8,3.6,0,0.1,0.1,0,5.1,112
Shrimps,0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,112
